,hour,load_roll_mean_1d,load_lag24,load_roll_std_1d,temp3,dayofy,temp_gradient,temp2,load_roll_mean_2d,temp1,load
2015-07-08 23:00:00,23,84724.91666666667,83322.0,10392.528281400504,69.4,189.0,1.5500000000000045,66.6,87005.16666666667,66.3,83755.0
2015-07-09 00:00:00,0,84769.375,77171.0,10361.042854229156,68.0,190.0,-1.75,68.9,86842.75,71.5,78238.0
2015-07-09 01:00:00,1,84811.08333333333,72925.0,10313.194629745609,68.0,190.0,-1.75,68.9,86699.04166666667,71.5,73926.0
2015-07-09 02:00:00,2,84853.70833333333,70227.0,10252.23095330605,68.0,190.0,-1.75,68.9,86573.875,71.5,71250.0
2015-07-09 03:00:00,3,84897.83333333333,68448.0,10180.580344210575,68.0,190.0,-1.75,68.9,86458.66666666667,71.5,69507.0
2015-07-09 04:00:00,4,84937.70833333333,67878.0,10112.66682875946,68.0,190.0,-1.75,68.9,86348.375,71.5,68835.0
2015-07-09 05:00:00,5,84979.5,68970.0,10045.660036315012,68.0,190.0,-1.75,68.9,86240.64583333333,71.5,69973.0
2015-07-09 06:00:00,6,85037.125,72026.0,9971.819380950674,68.0,190.0,-1.75,68.9,86138.02083333333,71.5,73409.0
2015-07-09 07:00:00,7,85095.375,75985.0,9920.594323064784,68.0,190.0,-1.75,68.9,86033.8125,71.5,77383.0
2015-07-09 08:00:00,8,85144.625,80518.0,9899.794476621571,68.0,190.0,-1.75,68.9,85926.6875,71.5,81700.0
2015-07-09 09:00:00,9,85202.875,84230.0,9898.291650198556,68.0,190.0,-1.75,68.9,85819.66666666667,71.5,85628.0
2015-07-09 10:00:00,10,85263.29166666667,87774.0,9919.07087811878,68.0,190.0,-1.75,68.9,85720.85416666667,71.5,89224.0
2015-07-09 11:00:00,11,85363.0,90355.0,9984.292023843776,68.0,190.0,-1.75,68.9,85631.08333333333,71.5,92748.0
2015-07-09 12:00:00,12,85489.08333333333,92526.0,10097.149037644482,68.0,190.0,-1.75,68.9,85564.54166666667,71.5,95552.0
2015-07-09 13:00:00,13,85642.5,94401.0,10265.0212901365,68.0,190.0,-1.75,68.9,85532.39583333333,71.5,98083.0
2015-07-09 14:00:00,14,85829.41666666667,95930.0,10498.675622136328,68.0,190.0,-1.75,68.9,85535.45833333333,71.5,100416.0
2015-07-09 15:00:00,15,86056.0,96277.0,10788.637271403282,68.0,190.0,-1.75,68.9,85574.6875,71.5,101715.0
2015-07-09 16:00:00,16,86328.125,96020.0,11127.921104776462,68.0,190.0,-1.75,68.9,85640.29166666667,71.5,102551.0
2015-07-09 17:00:00,17,86626.54166666667,95956.0,11487.556806801507,68.0,190.0,-1.75,68.9,85731.3125,71.5,103118.0
2015-07-09 18:00:00,18,86910.08333333333,95334.0,11791.777060885355,68.0,190.0,-1.75,68.9,85838.85416666667,71.5,102139.0
2015-07-09 19:00:00,19,87164.33333333333,93915.0,12013.089088543138,68.0,190.0,-1.75,68.9,85948.45833333333,71.5,100017.0
2015-07-09 20:00:00,20,87396.625,91916.0,12161.943136409564,68.0,190.0,-1.75,68.9,86053.04166666667,71.5,97491.0
2015-07-09 21:00:00,21,87593.66666666667,91451.0,12268.3291611285,68.0,190.0,-1.75,68.9,86149.29166666667,71.5,96180.0
2015-07-09 22:00:00,22,87771.58333333333,89410.0,12326.638513245638,68.0,190.0,-1.75,68.9,86239.22916666667,71.5,93680.0
2015-07-09 23:00:00,23,87921.91666666667,83755.0,12297.4900016458,68.0,190.0,-1.75,68.9,86323.41666666667,71.5,87363.0
2015-07-10 00:00:00,0,88027.25,78238.0,12221.528770984369,68.9,191.0,-2.3999999999999986,72.6,86398.3125,73.7,80766.0
2015-07-10 01:00:00,1,88108.04166666667,73926.0,12130.32675454788,68.9,191.0,-2.3999999999999986,72.6,86459.5625,73.7,75865.0
2015-07-10 02:00:00,2,88155.83333333333,71250.0,12063.094039138554,68.9,191.0,-2.3999999999999986,72.6,86504.77083333333,73.7,72397.0
