,hour,load_roll_mean_1d,load_lag24,load_roll_std_1d,temp3,dayofy,temp_gradient,temp2,load_roll_mean_2d,temp1,load
2017-01-01 00:00:00,0,74293.75,74223.0,3481.205866165377,42.8,1.0,3.349999999999998,33.2,76956.83333333333,36.1,71297.0
2017-01-01 01:00:00,1,74209.16666666667,71889.0,3565.808337735622,42.8,1.0,3.349999999999998,33.2,76872.10416666667,36.1,69859.0
2017-01-01 02:00:00,2,74127.75,70238.0,3680.8735760175687,42.8,1.0,3.349999999999998,33.2,76777.04166666667,36.1,68284.0
2017-01-01 03:00:00,3,74035.08333333333,69463.0,3828.451780582802,42.8,1.0,3.349999999999998,33.2,76675.47916666667,36.1,67239.0
2017-01-01 04:00:00,4,73944.45833333333,68966.0,3976.539996784932,42.8,1.0,3.349999999999998,33.2,76564.85416666667,36.1,66791.0
2017-01-01 05:00:00,5,73829.125,69455.0,4148.819845949731,42.8,1.0,3.349999999999998,33.2,76421.9375,36.1,66687.0
2017-01-01 06:00:00,6,73710.0,69673.0,4311.2101902324175,42.8,1.0,3.349999999999998,33.2,76215.70833333333,36.1,66814.0
2017-01-01 07:00:00,7,73590.875,71333.0,4417.924235308835,42.8,1.0,3.349999999999998,33.2,75944.83333333333,36.1,68474.0
2017-01-01 08:00:00,8,73427.54166666667,73652.0,4487.480981956585,42.8,1.0,3.349999999999998,33.2,75633.20833333333,36.1,69732.0
2017-01-01 09:00:00,9,73235.625,75597.0,4489.157883774103,42.8,1.0,3.349999999999998,33.2,75333.64583333333,36.1,70991.0
2017-01-01 10:00:00,10,72996.625,77319.0,4414.377200768957,42.8,1.0,3.349999999999998,33.2,75050.04166666667,36.1,71583.0
2017-01-01 11:00:00,11,72726.625,77918.0,4296.887041170856,42.8,1.0,3.349999999999998,33.2,74785.5,36.1,71438.0
2017-01-01 12:00:00,12,72480.625,77266.0,4193.464747962992,42.8,1.0,3.349999999999998,33.2,74556.29166666667,36.1,71362.0
2017-01-01 13:00:00,13,72255.08333333333,76227.0,4128.268548697157,42.8,1.0,3.349999999999998,33.2,74348.54166666667,36.1,70814.0
2017-01-01 14:00:00,14,72060.75,74821.0,4111.97341018936,42.8,1.0,3.349999999999998,33.2,74158.39583333333,36.1,70157.0
2017-01-01 15:00:00,15,71881.5,74152.0,4110.614245861362,42.8,1.0,3.349999999999998,33.2,73987.4375,36.1,69850.0
2017-01-01 16:00:00,16,71707.83333333333,74253.0,4094.07841375671,42.8,1.0,3.349999999999998,33.2,73819.3125,36.1,70085.0
2017-01-01 17:00:00,17,71568.45833333333,76747.0,3970.131888942415,42.8,1.0,3.349999999999998,33.2,73667.6875,36.1,73402.0
2017-01-01 18:00:00,18,71455.58333333333,80657.0,3731.86029978606,42.8,1.0,3.349999999999998,33.2,73518.3125,36.1,77948.0
2017-01-01 19:00:00,19,71375.625,80298.0,3550.308594213797,42.8,1.0,3.349999999999998,33.2,73372.125,36.1,78379.0
2017-01-01 20:00:00,20,71343.33333333333,78223.0,3488.303831836663,42.8,1.0,3.349999999999998,33.2,73225.95833333333,36.1,77448.0
2017-01-01 21:00:00,21,71314.58333333333,76398.0,3447.436891838104,42.8,1.0,3.349999999999998,33.2,73076.29166666667,36.1,75708.0
2017-01-01 22:00:00,22,71266.625,74504.0,3408.929767188919,42.8,1.0,3.349999999999998,33.2,72931.20833333333,36.1,73353.0
2017-01-01 23:00:00,23,71177.625,72704.0,3397.635850855426,49.4,1.0,4.550000000000001,37.9,72796.64583333333,40.3,70568.0
2017-01-02 00:00:00,0,71035.20833333333,71297.0,3463.41294326823,49.4,2.0,4.550000000000001,37.9,72664.47916666667,40.3,67879.0
2017-01-02 01:00:00,1,70857.375,69859.0,3631.907018689995,49.4,2.0,4.550000000000001,37.9,72533.27083333333,40.3,65591.0
2017-01-02 02:00:00,2,70687.125,68284.0,3847.1705730961226,49.4,2.0,4.550000000000001,37.9,72407.4375,40.3,64198.0
2017-01-02 03:00:00,3,70526.33333333333,67239.0,4071.6442962740425,49.4,2.0,4.550000000000001,37.9,72280.70833333333,40.3,63380.0
2017-01-02 04:00:00,4,70388.29166666667,66791.0,4255.786663901509,49.4,2.0,4.550000000000001,37.9,72166.375,40.3,63478.0
2017-01-02 05:00:00,5,70294.875,66687.0,4363.800092188464,49.4,2.0,4.550000000000001,37.9,72062.0,40.3,64445.0
2017-01-02 06:00:00,6,70286.0,66814.0,4371.397199784035,49.4,2.0,4.550000000000001,37.9,71998.0,40.3,66601.0
2017-01-02 07:00:00,7,70305.08333333333,68474.0,4364.1366586509575,49.4,2.0,4.550000000000001,37.9,71947.97916666667,40.3,68932.0
2017-01-02 08:00:00,8,70359.41666666667,69732.0,4364.808904795385,49.4,2.0,4.550000000000001,37.9,71893.47916666667,40.3,71036.0
2017-01-02 09:00:00,9,70425.20833333333,70991.0,4386.588760612152,49.4,2.0,4.550000000000001,37.9,71830.41666666667,40.3,72570.0
2017-01-02 10:00:00,10,70558.375,71583.0,4470.9648877163545,49.4,2.0,4.550000000000001,37.9,71777.5,40.3,74779.0
2017-01-02 11:00:00,11,70773.04166666667,71438.0,4635.683519596542,49.4,2.0,4.550000000000001,37.9,71749.83333333333,40.3,76590.0
2017-01-02 12:00:00,12,71004.29166666667,71362.0,4801.795040076395,49.4,2.0,4.550000000000001,37.9,71742.45833333333,40.3,76912.0
2017-01-02 13:00:00,13,71248.04166666667,70814.0,4938.256024491217,49.4,2.0,4.550000000000001,37.9,71751.5625,40.3,76664.0
2017-01-02 14:00:00,14,71499.58333333333,70157.0,5033.108400053038,49.4,2.0,4.550000000000001,37.9,71780.16666666667,40.3,76194.0
2017-01-02 15:00:00,15,71746.5,69850.0,5093.6598698365015,49.4,2.0,4.550000000000001,37.9,71814.0,40.3,75776.0
2017-01-02 16:00:00,16,72007.41666666667,70085.0,5164.736989110291,49.4,2.0,4.550000000000001,37.9,71857.625,40.3,76347.0
2017-01-02 17:00:00,17,72244.08333333333,73402.0,5357.945290118333,49.4,2.0,4.550000000000001,37.9,71906.27083333333,40.3,79082.0
2017-01-02 18:00:00,18,72405.16666666667,77948.0,5589.976197093777,49.4,2.0,4.550000000000001,37.9,71930.375,40.3,81814.0
2017-01-02 19:00:00,19,72559.875,78379.0,5809.564088359472,49.4,2.0,4.550000000000001,37.9,71967.75,40.3,82092.0
2017-01-02 20:00:00,20,72688.29166666667,77448.0,5954.564011195327,49.4,2.0,4.550000000000001,37.9,72015.8125,40.3,80530.0
2017-01-02 21:00:00,21,72785.125,75708.0,6024.293891964089,49.4,2.0,4.550000000000001,37.9,72049.85416666667,40.3,78032.0
2017-01-02 22:00:00,22,72845.04166666667,73353.0,6037.324418038163,49.4,2.0,4.550000000000001,37.9,72055.83333333333,40.3,74791.0
2017-01-02 23:00:00,23,72933.00130208333,70568.0,6018.054488917411,26.4,2.0,3.649999999999999,25.4,72055.31315104167,19.1,72679.03125
2017-01-03 00:00:00,0,72948.40169270833,67879.0,6005.017621386109,26.4,3.0,3.649999999999999,25.4,71991.80501302083,19.1,68248.609375
2017-01-03 01:00:00,1,72973.23795572917,65591.0,5974.419676270143,26.4,3.0,3.649999999999999,25.4,71915.30647786458,19.1,66187.0703125
2017-01-03 02:00:00,2,73034.65462239583,64198.0,5887.228723958073,26.4,3.0,3.649999999999999,25.4,71860.88981119792,19.1,65672.0
2017-01-03 03:00:00,3,73104.3212890625,63380.0,5776.871288706865,26.4,3.0,3.649999999999999,25.4,71815.32731119792,19.1,65052.0
2017-01-03 04:00:00,4,73174.48795572917,63478.0,5663.9892556101295,26.4,3.0,3.649999999999999,25.4,71781.38981119792,19.1,65162.0
2017-01-03 05:00:00,5,73277.65462239583,64445.0,5518.760571284971,26.4,3.0,3.649999999999999,25.4,71786.26481119792,19.1,66921.0
2017-01-03 06:00:00,6,73458.15462239583,66601.0,5359.438167928246,26.4,3.0,3.649999999999999,25.4,71872.07731119792,19.1,70933.0
2017-01-03 07:00:00,7,73811.3212890625,68932.0,5327.3863569742425,26.4,3.0,3.649999999999999,25.4,72058.20231119792,19.1,77408.0
2017-01-03 08:00:00,8,74229.23795572917,71036.0,5491.100685154759,26.4,3.0,3.649999999999999,25.4,72294.32731119792,19.1,81066.0
2017-01-03 09:00:00,9,74605.9462890625,72570.0,5679.221529386535,26.4,3.0,3.649999999999999,25.4,72515.57731119792,19.1,81611.0
