,load,temp1,temp2,temp3,weekday,season,dayofy
2015-07-02 00:00:00,77437.0,68.0,63.9,69.9,4.0,2.0,183.0
2015-07-02 01:00:00,72863.0,68.0,63.9,69.9,4.0,2.0,183.0
2015-07-02 02:00:00,69862.0,68.0,63.9,69.9,4.0,2.0,183.0
2015-07-02 03:00:00,67951.0,68.0,63.9,69.9,4.0,2.0,183.0
2015-07-02 04:00:00,67153.0,68.0,63.9,69.9,4.0,2.0,183.0
2015-07-02 05:00:00,68405.0,68.0,63.9,69.9,4.0,2.0,183.0
2015-07-02 06:00:00,71204.0,68.0,63.9,69.9,4.0,2.0,183.0
2015-07-02 07:00:00,75033.0,68.0,63.9,69.9,4.0,2.0,183.0
2015-07-02 08:00:00,78999.0,68.0,63.9,69.9,4.0,2.0,183.0
2015-07-02 09:00:00,82401.0,68.0,63.9,69.9,4.0,2.0,183.0
2015-07-02 10:00:00,85489.0,68.0,63.9,69.9,4.0,2.0,183.0
2015-07-02 11:00:00,88452.0,68.0,63.9,69.9,4.0,2.0,183.0
2015-07-02 12:00:00,90991.0,68.0,63.9,69.9,4.0,2.0,183.0
2015-07-02 13:00:00,93456.0,68.0,63.9,69.9,4.0,2.0,183.0
2015-07-02 14:00:00,95601.0,68.0,63.9,69.9,4.0,2.0,183.0
2015-07-02 15:00:00,97046.0,68.0,63.9,69.9,4.0,2.0,183.0
2015-07-02 16:00:00,97627.0,68.0,63.9,69.9,4.0,2.0,183.0
2015-07-02 17:00:00,97675.0,68.0,63.9,69.9,4.0,2.0,183.0
2015-07-02 18:00:00,96420.0,68.0,63.9,69.9,4.0,2.0,183.0
2015-07-02 19:00:00,93971.0,68.0,63.9,69.9,4.0,2.0,183.0
2015-07-02 20:00:00,91118.0,68.0,63.9,69.9,4.0,2.0,183.0
2015-07-02 21:00:00,89650.0,68.0,63.9,69.9,4.0,2.0,183.0
2015-07-02 22:00:00,87493.0,68.0,63.9,69.9,4.0,2.0,183.0
2015-07-02 23:00:00,81759.0,68.0,63.9,69.9,4.0,2.0,183.0
2015-07-03 00:00:00,75509.0,72.2,66.5,71.9,5.0,2.0,184.0
2015-07-03 01:00:00,70928.0,72.2,66.5,71.9,5.0,2.0,184.0
2015-07-03 02:00:00,67829.0,72.2,66.5,71.9,5.0,2.0,184.0
2015-07-03 03:00:00,65731.0,72.2,66.5,71.9,5.0,2.0,184.0
2015-07-03 04:00:00,64468.0,72.2,66.5,71.9,5.0,2.0,184.0
2015-07-03 05:00:00,64617.0,72.2,66.5,71.9,5.0,2.0,184.0
2015-07-03 06:00:00,65541.0,72.2,66.5,71.9,5.0,2.0,184.0
2015-07-03 07:00:00,66816.0,72.2,66.5,71.9,5.0,2.0,184.0
2015-07-03 08:00:00,70175.0,72.2,66.5,71.9,5.0,2.0,184.0
2015-07-03 09:00:00,75011.0,72.2,66.5,71.9,5.0,2.0,184.0
2015-07-03 10:00:00,79584.0,72.2,66.5,71.9,5.0,2.0,184.0
2015-07-03 11:00:00,83066.0,72.2,66.5,71.9,5.0,2.0,184.0
2015-07-03 12:00:00,85636.0,72.2,66.5,71.9,5.0,2.0,184.0
2015-07-03 13:00:00,87807.0,72.2,66.5,71.9,5.0,2.0,184.0
2015-07-03 14:00:00,89648.0,72.2,66.5,71.9,5.0,2.0,184.0
2015-07-03 15:00:00,90947.0,72.2,66.5,71.9,5.0,2.0,184.0
2015-07-03 16:00:00,91958.0,72.2,66.5,71.9,5.0,2.0,184.0
2015-07-03 17:00:00,92516.0,72.2,66.5,71.9,5.0,2.0,184.0
2015-07-03 18:00:00,92032.0,72.2,66.5,71.9,5.0,2.0,184.0
2015-07-03 19:00:00,89891.0,72.2,66.5,71.9,5.0,2.0,184.0
2015-07-03 20:00:00,86886.0,72.2,66.5,71.9,5.0,2.0,184.0
2015-07-03 21:00:00,85254.0,72.2,66.5,71.9,5.0,2.0,184.0
2015-07-03 22:00:00,83291.0,72.2,66.5,71.9,5.0,2.0,184.0
2015-07-03 23:00:00,78879.0,72.2,66.5,71.9,5.0,2.0,184.0
2015-07-04 00:00:00,73880.0,76.0,71.9,73.3,6.0,2.0,185.0
2015-07-04 01:00:00,69170.0,76.0,71.9,73.3,6.0,2.0,185.0
2015-07-04 02:00:00,65909.0,76.0,71.9,73.3,6.0,2.0,185.0
2015-07-04 03:00:00,63747.0,76.0,71.9,73.3,6.0,2.0,185.0
2015-07-04 04:00:00,62427.0,76.0,71.9,73.3,6.0,2.0,185.0
2015-07-04 05:00:00,61990.0,76.0,71.9,73.3,6.0,2.0,185.0
2015-07-04 06:00:00,61749.0,76.0,71.9,73.3,6.0,2.0,185.0
2015-07-04 07:00:00,61924.0,76.0,71.9,73.3,6.0,2.0,185.0
2015-07-04 08:00:00,65173.0,76.0,71.9,73.3,6.0,2.0,185.0
2015-07-04 09:00:00,70371.0,76.0,71.9,73.3,6.0,2.0,185.0
2015-07-04 10:00:00,75670.0,76.0,71.9,73.3,6.0,2.0,185.0
2015-07-04 11:00:00,80105.0,76.0,71.9,73.3,6.0,2.0,185.0
2015-07-04 12:00:00,83562.0,76.0,71.9,73.3,6.0,2.0,185.0
2015-07-04 13:00:00,85799.0,76.0,71.9,73.3,6.0,2.0,185.0
2015-07-04 14:00:00,87258.0,76.0,71.9,73.3,6.0,2.0,185.0
2015-07-04 15:00:00,88461.0,76.0,71.9,73.3,6.0,2.0,185.0
2015-07-04 16:00:00,89592.0,76.0,71.9,73.3,6.0,2.0,185.0
2015-07-04 17:00:00,90115.0,76.0,71.9,73.3,6.0,2.0,185.0
2015-07-04 18:00:00,89556.0,76.0,71.9,73.3,6.0,2.0,185.0
2015-07-04 19:00:00,87362.0,76.0,71.9,73.3,6.0,2.0,185.0
2015-07-04 20:00:00,84060.0,76.0,71.9,73.3,6.0,2.0,185.0
2015-07-04 21:00:00,81616.0,76.0,71.9,73.3,6.0,2.0,185.0
2015-07-04 22:00:00,79465.0,76.0,71.9,73.3,6.0,2.0,185.0
2015-07-04 23:00:00,76962.0,76.0,71.9,73.3,6.0,2.0,185.0
2015-07-05 00:00:00,73499.0,78.4,73.5,74.2,7.0,2.0,186.0
2015-07-05 01:00:00,69123.0,78.4,73.5,74.2,7.0,2.0,186.0
2015-07-05 02:00:00,65684.0,78.4,73.5,74.2,7.0,2.0,186.0
2015-07-05 03:00:00,63407.0,78.4,73.5,74.2,7.0,2.0,186.0
2015-07-05 04:00:00,62006.0,78.4,73.5,74.2,7.0,2.0,186.0
