,load,temp1,temp2,temp3,weekday,season,dayofy
2015-07-02 00:00:00,77437,68.0,63.9,69.9,4,2,183
2015-07-02 01:00:00,72863,68.0,63.9,69.9,4,2,183
2015-07-02 02:00:00,69862,68.0,63.9,69.9,4,2,183
2015-07-02 03:00:00,67951,68.0,63.9,69.9,4,2,183
2015-07-02 04:00:00,67153,68.0,63.9,69.9,4,2,183
2015-07-02 05:00:00,68405,68.0,63.9,69.9,4,2,183
2015-07-02 06:00:00,71204,68.0,63.9,69.9,4,2,183
2015-07-02 07:00:00,75033,68.0,63.9,69.9,4,2,183
2015-07-02 08:00:00,78999,68.0,63.9,69.9,4,2,183
2015-07-02 09:00:00,82401,68.0,63.9,69.9,4,2,183
2015-07-02 10:00:00,85489,68.0,63.9,69.9,4,2,183
2015-07-02 11:00:00,88452,68.0,63.9,69.9,4,2,183
2015-07-02 12:00:00,90991,68.0,63.9,69.9,4,2,183
2015-07-02 13:00:00,93456,68.0,63.9,69.9,4,2,183
2015-07-02 14:00:00,95601,68.0,63.9,69.9,4,2,183
2015-07-02 15:00:00,97046,68.0,63.9,69.9,4,2,183
2015-07-02 16:00:00,97627,68.0,63.9,69.9,4,2,183
2015-07-02 17:00:00,97675,68.0,63.9,69.9,4,2,183
2015-07-02 18:00:00,96420,68.0,63.9,69.9,4,2,183
2015-07-02 19:00:00,93971,68.0,63.9,69.9,4,2,183
2015-07-02 20:00:00,91118,68.0,63.9,69.9,4,2,183
2015-07-02 21:00:00,89650,68.0,63.9,69.9,4,2,183
2015-07-02 22:00:00,87493,68.0,63.9,69.9,4,2,183
2015-07-02 23:00:00,81759,68.0,63.9,69.9,4,2,183
2015-07-03 00:00:00,75509,72.2,66.5,71.9,5,2,184
2015-07-03 01:00:00,70928,72.2,66.5,71.9,5,2,184
2015-07-03 02:00:00,67829,72.2,66.5,71.9,5,2,184
2015-07-03 03:00:00,65731,72.2,66.5,71.9,5,2,184
2015-07-03 04:00:00,64468,72.2,66.5,71.9,5,2,184
2015-07-03 05:00:00,64617,72.2,66.5,71.9,5,2,184
2015-07-03 06:00:00,65541,72.2,66.5,71.9,5,2,184
2015-07-03 07:00:00,66816,72.2,66.5,71.9,5,2,184
2015-07-03 08:00:00,70175,72.2,66.5,71.9,5,2,184
2015-07-03 09:00:00,75011,72.2,66.5,71.9,5,2,184
2015-07-03 10:00:00,79584,72.2,66.5,71.9,5,2,184
2015-07-03 11:00:00,83066,72.2,66.5,71.9,5,2,184
2015-07-03 12:00:00,85636,72.2,66.5,71.9,5,2,184
2015-07-03 13:00:00,87807,72.2,66.5,71.9,5,2,184
2015-07-03 14:00:00,89648,72.2,66.5,71.9,5,2,184
2015-07-03 15:00:00,90947,72.2,66.5,71.9,5,2,184
2015-07-03 16:00:00,91958,72.2,66.5,71.9,5,2,184
2015-07-03 17:00:00,92516,72.2,66.5,71.9,5,2,184
2015-07-03 18:00:00,92032,72.2,66.5,71.9,5,2,184
2015-07-03 19:00:00,89891,72.2,66.5,71.9,5,2,184
2015-07-03 20:00:00,86886,72.2,66.5,71.9,5,2,184
2015-07-03 21:00:00,85254,72.2,66.5,71.9,5,2,184
2015-07-03 22:00:00,83291,72.2,66.5,71.9,5,2,184
2015-07-03 23:00:00,78879,72.2,66.5,71.9,5,2,184
2015-07-04 00:00:00,73880,76.0,71.9,73.3,6,2,185
2015-07-04 01:00:00,69170,76.0,71.9,73.3,6,2,185
2015-07-04 02:00:00,65909,76.0,71.9,73.3,6,2,185
2015-07-04 03:00:00,63747,76.0,71.9,73.3,6,2,185
2015-07-04 04:00:00,62427,76.0,71.9,73.3,6,2,185
2015-07-04 05:00:00,61990,76.0,71.9,73.3,6,2,185
2015-07-04 06:00:00,61749,76.0,71.9,73.3,6,2,185
2015-07-04 07:00:00,61924,76.0,71.9,73.3,6,2,185
2015-07-04 08:00:00,65173,76.0,71.9,73.3,6,2,185
2015-07-04 09:00:00,70371,76.0,71.9,73.3,6,2,185
2015-07-04 10:00:00,75670,76.0,71.9,73.3,6,2,185
2015-07-04 11:00:00,80105,76.0,71.9,73.3,6,2,185
2015-07-04 12:00:00,83562,76.0,71.9,73.3,6,2,185
2015-07-04 13:00:00,85799,76.0,71.9,73.3,6,2,185
2015-07-04 14:00:00,87258,76.0,71.9,73.3,6,2,185
2015-07-04 15:00:00,88461,76.0,71.9,73.3,6,2,185
2015-07-04 16:00:00,89592,76.0,71.9,73.3,6,2,185
2015-07-04 17:00:00,90115,76.0,71.9,73.3,6,2,185
2015-07-04 18:00:00,89556,76.0,71.9,73.3,6,2,185
2015-07-04 19:00:00,87362,76.0,71.9,73.3,6,2,185
2015-07-04 20:00:00,84060,76.0,71.9,73.3,6,2,185
2015-07-04 21:00:00,81616,76.0,71.9,73.3,6,2,185
2015-07-04 22:00:00,79465,76.0,71.9,73.3,6,2,185
2015-07-04 23:00:00,76962,76.0,71.9,73.3,6,2,185
2015-07-05 00:00:00,73499,78.4,73.5,74.2,7,2,186
2015-07-05 01:00:00,69123,78.4,73.5,74.2,7,2,186
2015-07-05 02:00:00,65684,78.4,73.5,74.2,7,2,186
2015-07-05 03:00:00,63407,78.4,73.5,74.2,7,2,186
2015-07-05 04:00:00,62006,78.4,73.5,74.2,7,2,186
2015-07-05 05:00:00,61741,78.4,73.5,74.2,7,2,186
2015-07-05 06:00:00,61426,78.4,73.5,74.2,7,2,186
2015-07-05 07:00:00,61889,78.4,73.5,74.2,7,2,186
2015-07-05 08:00:00,65234,78.4,73.5,74.2,7,2,186
2015-07-05 09:00:00,70541,78.4,73.5,74.2,7,2,186
2015-07-05 10:00:00,76446,78.4,73.5,74.2,7,2,186
2015-07-05 11:00:00,81560,78.4,73.5,74.2,7,2,186
2015-07-05 12:00:00,86259,78.4,73.5,74.2,7,2,186
2015-07-05 13:00:00,90197,78.4,73.5,74.2,7,2,186
2015-07-05 14:00:00,93245,78.4,73.5,74.2,7,2,186
2015-07-05 15:00:00,95468,78.4,73.5,74.2,7,2,186
2015-07-05 16:00:00,97478,78.4,73.5,74.2,7,2,186
2015-07-05 17:00:00,98745,78.4,73.5,74.2,7,2,186
2015-07-05 18:00:00,98773,78.4,73.5,74.2,7,2,186
2015-07-05 19:00:00,97116,78.4,73.5,74.2,7,2,186
2015-07-05 20:00:00,94393,78.4,73.5,74.2,7,2,186
2015-07-05 21:00:00,93023,78.4,73.5,74.2,7,2,186
2015-07-05 22:00:00,90712,78.4,73.5,74.2,7,2,186
2015-07-05 23:00:00,84847,78.4,73.5,74.2,7,2,186
2015-07-06 00:00:00,78546,69.0,72.9,74.8,1,2,187
2015-07-06 01:00:00,73890,69.0,72.9,74.8,1,2,187
2015-07-06 02:00:00,70589,69.0,72.9,74.8,1,2,187
2015-07-06 03:00:00,68627,69.0,72.9,74.8,1,2,187
2015-07-06 04:00:00,68070,69.0,72.9,74.8,1,2,187
2015-07-06 05:00:00,69453,69.0,72.9,74.8,1,2,187
2015-07-06 06:00:00,72763,69.0,72.9,74.8,1,2,187
2015-07-06 07:00:00,77737,69.0,72.9,74.8,1,2,187
2015-07-06 08:00:00,83383,69.0,72.9,74.8,1,2,187
2015-07-06 09:00:00,88690,69.0,72.9,74.8,1,2,187
2015-07-06 10:00:00,93981,69.0,72.9,74.8,1,2,187
2015-07-06 11:00:00,99120,69.0,72.9,74.8,1,2,187
2015-07-06 12:00:00,103833,69.0,72.9,74.8,1,2,187
2015-07-06 13:00:00,107512,69.0,72.9,74.8,1,2,187
2015-07-06 14:00:00,110262,69.0,72.9,74.8,1,2,187
2015-07-06 15:00:00,111839,69.0,72.9,74.8,1,2,187
2015-07-06 16:00:00,112499,69.0,72.9,74.8,1,2,187
2015-07-06 17:00:00,112783,69.0,72.9,74.8,1,2,187
2015-07-06 18:00:00,111767,69.0,72.9,74.8,1,2,187
2015-07-06 19:00:00,109311,69.0,72.9,74.8,1,2,187
2015-07-06 20:00:00,105673,69.0,72.9,74.8,1,2,187
2015-07-06 21:00:00,103647,69.0,72.9,74.8,1,2,187
2015-07-06 22:00:00,100323,69.0,72.9,74.8,1,2,187
2015-07-06 23:00:00,93076,69.0,72.9,74.8,1,2,187
2015-07-07 00:00:00,86034,62.5,62.9,62.7,2,2,188
2015-07-07 01:00:00,80824,62.5,62.9,62.7,2,2,188
2015-07-07 02:00:00,77258,62.5,62.9,62.7,2,2,188
2015-07-07 03:00:00,75037,62.5,62.9,62.7,2,2,188
2015-07-07 04:00:00,74129,62.5,62.9,62.7,2,2,188
2015-07-07 05:00:00,75144,62.5,62.9,62.7,2,2,188
2015-07-07 06:00:00,78335,62.5,62.9,62.7,2,2,188
2015-07-07 07:00:00,82385,62.5,62.9,62.7,2,2,188
2015-07-07 08:00:00,86842,62.5,62.9,62.7,2,2,188
2015-07-07 09:00:00,90765,62.5,62.9,62.7,2,2,188
2015-07-07 10:00:00,93967,62.5,62.9,62.7,2,2,188
2015-07-07 11:00:00,97057,62.5,62.9,62.7,2,2,188
2015-07-07 12:00:00,98746,62.5,62.9,62.7,2,2,188
2015-07-07 13:00:00,99626,62.5,62.9,62.7,2,2,188
2015-07-07 14:00:00,100269,62.5,62.9,62.7,2,2,188
2015-07-07 15:00:00,99832,62.5,62.9,62.7,2,2,188
2015-07-07 16:00:00,99402,62.5,62.9,62.7,2,2,188
2015-07-07 17:00:00,98749,62.5,62.9,62.7,2,2,188
2015-07-07 18:00:00,96977,62.5,62.9,62.7,2,2,188
2015-07-07 19:00:00,94756,62.5,62.9,62.7,2,2,188
2015-07-07 20:00:00,92471,62.5,62.9,62.7,2,2,188
2015-07-07 21:00:00,91560,62.5,62.9,62.7,2,2,188
2015-07-07 22:00:00,89363,62.5,62.9,62.7,2,2,188
2015-07-07 23:00:00,83322,62.5,62.9,62.7,2,2,188
2015-07-08 00:00:00,77171,66.3,66.6,69.4,3,2,189
